Handle,Title,Body (HTML),Vendor,Product Category,Type,Tags,Published,Option1 Name,Option1 Value,Option1 Linked To,Option2 Name,Option2 Value,Option2 Linked To,Option3 Name,Option3 Value,Option3 Linked To,Variant SKU,Variant Grams,Variant Inventory Tracker,Variant Inventory Qty,Variant Inventory Policy,Variant Fulfillment Service,Variant Price,Variant Compare At Price,Variant Requires Shipping,Variant Taxable,Variant Barcode,Image Src,Image Position,Image Alt Text,Gift Card,SEO Title,SEO Description,Google Shopping / Google Product Category,Google Shopping / Gender,Google Shopping / Age Group,Google Shopping / MPN,Google Shopping / Condition,Google Shopping / Custom Product,Google Shopping / Custom Label 0,Google Shopping / Custom Label 1,Google Shopping / Custom Label 2,Google Shopping / Custom Label 3,Google Shopping / Custom Label 4,Complementary products (product.metafields.shopify--discovery--product_recommendation.complementary_products),Related products (product.metafields.shopify--discovery--product_recommendation.related_products),Related products settings (product.metafields.shopify--discovery--product_recommendation.related_products_display),Variant Image,Variant Weight Unit,Variant Tax Code,Cost per item,Included / Bangladesh,Price / Bangladesh,Compare At Price / Bangladesh,Included / International,Price / International,Compare At Price / International,Status
cartier-sunglass,Cartier Sunglass,"<p>Contrary to popular belief, Lorem Ipsum is not simply random text. It has roots in a piece of classical Latin literature from 45 BC, making it over 2000 years old. Richard McClintock, a Latin professor at Hampden-Sydney College in Virginia, looked up one of the more obscure Latin words, consectetur, from a Lorem Ipsum passage, and going through the cites of the word in classical literature, discovered the undoubtable source. Lorem Ipsum comes from sections 1.10.32 and 1.10.33 of ""de Finibus Bonorum et Malorum"" (The Extremes of Good and Evil) by Cicero, written in 45 BC. This book is a treatise on the theory of ethics, very popular during the Renaissance. The first line of Lorem Ipsum, ""Lorem ipsum dolor sit amet.."", comes from a line in section 1.10.32.</p>
<p>The standard chunk of Lorem Ipsum used since the 1500s is reproduced below for those interested. Sections 1.10.32 and 1.10.33 from ""de Finibus Bonorum et Malorum"" by Cicero are also reproduced in their exact original form, accompanied by English versions from the 1914 translation by H. Rackham.</p>
[new_products]300[/new_products] [short_description]
<p>Contrary to popular belief, Lorem Ipsum is not simply random text. It has roots in a piece of classical Latin literature from 45 BC, making it over 2000 years old. Richard McClintock, a Latin professor at Hampden-Sydney College in Virginia,</p>
[/short_description] [product_description]
<p>Contrary to popular belief, Lorem Ipsum is not simply random text. It has roots in a piece of classical Latin literature from 45 BC, making it over 2000 years old. Richard McClintock, a Latin professor at Hampden-Sydney College in Virginia, looked up one of the more obscure Latin words, consectetur, from a Lorem Ipsum passage, and going through the cites of the word in classical literature, discovered the undoubtable source. Lorem Ipsum comes from sections 1.10.32 and 1.10.33 of ""de Finibus Bonorum et Malorum"" (The Extremes of Good and Evil) by Cicero, written in 45 BC. This book is a treatise on the theory of ethics, very popular during the Renaissance. The first line of Lorem Ipsum, ""Lorem ipsum dolor sit amet.."", comes from a line in section 1.10.32.</p>
<p>The standard chunk of Lorem Ipsum used since the 1500s is reproduced below for those interested. Sections 1.10.32 and 1.10.33 from ""de Finibus Bonorum et Malorum"" by Cicero are also reproduced in their exact original form, accompanied by English versions from the 1914 translation by H. Rackham.</p>
[/product_description]",Vendor 1,Uncategorized,Type 1,"blue, green, l, m, red, s, white, xl, yellow",true,Size,s,,Color,red,,,,,'1510,0.0,shopify,10,deny,manual,110.00,130.00,true,true,,https://cdn.shopify.com/s/files/1/0701/8899/0684/files/sun_12.jpg?v=1725789700,1,"",false,,,,,,,,,,,,,,,,,,kg,,,true,,,true,,,active
cartier-sunglass,,,,,,,,,s,,,green,,,,,'1511,0.0,shopify,8,deny,manual,110.00,130.00,true,true,,https://cdn.shopify.com/s/files/1/0701/8899/0684/files/sun_5.jpg?v=1725789700,2,"",,,,,,,,,,,,,,,,,,,kg,,,,,,,,,
cartier-sunglass,,,,,,,,,s,,,blue,,,,,'1512,0.0,shopify,10,deny,manual,110.00,130.00,true,true,,https://cdn.shopify.com/s/files/1/0701/8899/0684/files/sun_8.jpg?v=1725789700,3,"",,,,,,,,,,,,,,,,,,,kg,,,,,,,,,
cartier-sunglass,,,,,,,,,s,,,yellow,,,,,'1513,0.0,shopify,7,deny,manual,110.00,130.00,true,true,,https://cdn.shopify.com/s/files/1/0701/8899/0684/files/sun_9.jpg?v=1725789699,4,"",,,,,,,,,,,,,,,,,,,kg,,,,,,,,,
cartier-sunglass,,,,,,,,,s,,,white,,,,,'1514,0.0,shopify,6,deny,manual,110.00,130.00,true,true,,https://cdn.shopify.com/s/files/1/0701/8899/0684/files/sun_6.jpg?v=1725789699,5,"",,,,,,,,,,,,,,,,,,,kg,,,,,,,,,
cartier-sunglass,,,,,,,,,m,,,red,,,,,'1515,0.0,shopify,5,deny,manual,110.00,130.00,true,true,,,,,,,,,,,,,,,,,,,,,,,kg,,,,,,,,,
cartier-sunglass,,,,,,,,,m,,,green,,,,,'1516,0.0,shopify,8,deny,manual,110.00,130.00,true,true,,,,,,,,,,,,,,,,,,,,,,,kg,,,,,,,,,
cartier-sunglass,,,,,,,,,m,,,blue,,,,,'1517,0.0,shopify,9,deny,manual,110.00,130.00,true,true,,,,,,,,,,,,,,,,,,,,,,,kg,,,,,,,,,
cartier-sunglass,,,,,,,,,m,,,yellow,,,,,'1518,0.0,shopify,6,deny,manual,110.00,130.00,true,true,,,,,,,,,,,,,,,,,,,,,,,kg,,,,,,,,,
cartier-sunglass,,,,,,,,,m,,,white,,,,,'1519,0.0,shopify,4,deny,manual,110.00,130.00,true,true,,,,,,,,,,,,,,,,,,,,,,,kg,,,,,,,,,
